Sector,Ticker,Current Price,RMSE,MAE,MAPE (%),2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12,2028-01,2028-02,2028-03,2028-04,2028-05,2028-06,2028-07,2028-08,2028-09,2028-10,2028-11,2028-12,2029-01,2029-02,2029-03,2029-04,2029-05,2029-06,2029-07,2029-08,2029-09,2029-10,2029-11,2029-12,2030-01,2030-02,2030-03,2030-04,2030-05,2030-06,2030-07,2030-08,2030-09,2030-10,2030-11,2030-12,Volatility,Std Dev (%),Sharpe Ratio,Sortino Ratio,VaR (95%),Expected Shortfall (95%),Max Drawdown (%),Covariance with Nifty,Beta
Construction,HCC.NS,37.83,1.37,0.96,3.79,38.080002,38.490002,38.939999,39.34,39.610001,39.75,39.759998,39.66,39.48,39.27,39.040001,38.84,38.650002,38.5,38.369999,38.27,38.189999,38.119999,38.049999,37.98,37.900002,37.82,37.740002,37.66,37.580002,37.5,37.419998,37.349998,37.27,37.200001,37.139999,37.07,37.009998,36.950001,36.900002,36.84,36.779999,36.73,36.669998,36.619999,36.57,36.52,36.470001,36.419998,36.369999,36.330002,36.279999,36.240002,36.189999,36.150002,36.110001,36.07,36.029999,35.990002,35.959999,35.919998,35.880001,35.849998,35.810001,35.779999,0.0033,0.33,-0.32,-0.89,-0.48,-0.55,-10.01,0.004,1.86
Construction,HGINFRA.NS,1517.25,107.49,75.03,5.76,1345.859985,1317.859985,1272.829956,1220.25,1165.890015,1113.27002,1064.599976,1021.119995,983.460022,951.710022,925.650024,904.789978,888.47998,876.030029,866.679993,859.719971,854.51001,850.47998,847.130005,844.080017,841.049988,837.809998,834.25,830.289978,825.929993,821.179993,816.109985,810.789978,805.299988,799.719971,794.140015,788.619995,783.22998,778,772.97998,768.190002,763.640015,759.320007,755.23999,751.380005,747.719971,744.26001,740.960022,737.820007,734.809998,731.909973,729.119995,726.409973,723.780029,721.22998,718.72998,716.289978,713.909973,711.580017,709.299988,707.059998,704.880005,702.73999,700.650024,698.609985,0.0126,1.26,-0.87,-0.87,-4.15,-4.45,-48.09,0.0032,1.28
Construction,INDIACEM.NS,376.35,19.28,14.48,5.36,333.410004,290.450012,248.979996,216.279999,193.419998,178.660004,169.779999,164.940002,162.779999,162.270004,162.699997,163.570007,164.580002,165.610001,166.619995,167.630005,168.679993,169.800003,170.970001,172.139999,173.25,174.199997,174.910004,175.309998,175.350006,175,174.270004,173.190002,171.800003,170.139999,168.289993,166.289993,164.199997,162.059998,159.919998,157.789993,155.710007,153.690002,151.75,149.889999,148.130005,146.460007,144.899994,143.429993,142.059998,140.779999,139.589996,138.479996,137.460007,136.5,135.600006,134.770004,133.979996,133.240005,132.529999,131.860001,131.210007,130.589996,129.990005,129.410004,0.0333,3.33,-0.46,-0.43,-10.8,-13.43,-61.19,0.0022,1.04
Construction,IRB.NS,57.13,4.19,2.83,5.76,51.310001,49.34,46.970001,44.720001,42.759998,41.080002,39.650002,38.43,37.360001,36.41,35.549999,34.740002,34,33.290001,32.619999,31.99,31.4,30.83,30.299999,29.799999,29.33,28.879999,28.459999,28.059999,27.68,27.32,26.98,26.65,26.34,26.040001,25.75,25.48,25.209999,24.950001,24.709999,24.469999,24.24,24.02,23.799999,23.59,23.389999,23.200001,23.01,22.82,22.65,22.469999,22.299999,22.139999,21.98,21.83,21.68,21.530001,21.389999,21.25,21.120001,20.99,20.860001,20.73,20.610001,20.49,0.0109,1.09,-1.41,-1.41,-3.97,-4.67,-60.06,0.0033,1.53
Construction,IRCON.NS,212.76,8.37,5.48,2.97,207.860001,208.600006,208.860001,208.910004,208.839996,208.679993,208.470001,208.210007,207.919998,207.619995,207.300003,206.990005,206.679993,206.380005,206.089996,205.809998,205.550003,205.289993,205.050003,204.809998,204.589996,204.369995,204.149994,203.949997,203.740005,203.550003,203.350006,203.160004,202.979996,202.800003,202.619995,202.449997,202.279999,202.110001,201.949997,201.789993,201.630005,201.479996,201.330002,201.190002,201.050003,200.910004,200.770004,200.639999,200.509995,200.380005,200.25,200.130005,200.009995,199.889999,199.779999,199.669998,199.559998,199.449997,199.339996,199.240005,199.139999,199.039993,198.949997,198.850006,0.0007,0.07,-1.04,-2.34,-0.15,-0.15,-4.81,0.0025,0.98
Construction,ISGEC.NS,1442.55,61.9,48.98,4.03,1373.72998,1343.079956,1306.359985,1267.939941,1229.880005,1193.469971,1159.540039,1128.670044,1101.189941,1077.209961,1056.660034,1039.339966,1024.949951,1013.130005,1003.48999,995.640015,989.210022,983.849976,979.25,975.159973,971.340027,967.619995,963.880005,960.01001,955.969971,951.710022,947.25,942.580017,937.75,932.780029,927.710022,922.590027,917.460022,912.349976,907.299988,902.320007,897.440002,892.669983,888.01001,883.469971,879.049988,874.73999,870.530029,866.419983,862.390015,858.450012,854.570007,850.75,846.98999,843.27002,839.590027,835.950012,832.340027,828.75,825.200012,821.669983,818.159973,814.679993,811.22998,807.789978,0.0082,0.82,-1.09,-1.09,-2.85,-2.97,-41.2,0.0015,1.16
Construction,ITDCEM.NS,538.15,19.61,11.3,3.79,502.420013,496.119995,485.160004,472.089996,458.459991,445.209991,432.869995,421.709991,411.820007,403.170013,395.660004,389.130005,383.420013,378.359985,373.809998,369.619995,365.690002,361.940002,358.309998,354.75,351.26001,347.809998,344.410004,341.070007,337.790009,334.589996,331.480011,328.450012,325.529999,322.709991,319.980011,317.359985,314.829987,312.390015,310.040009,307.76001,305.559998,303.429993,301.359985,299.339996,297.380005,295.480011,293.609985,291.799988,290.019989,288.279999,286.589996,284.929993,283.299988,281.720001,280.160004,278.640015,277.149994,275.690002,274.25,272.850006,271.480011,270.130005,268.799988,267.5,0.0067,0.67,-1.58,-1.58,-2.7,-2.85,-46.76,0.0033,1.52
Construction,JKCEMENT.NS,4595.4,227.31,171.78,4.63,4156.310059,4100.580078,4015.77002,3918.77002,3823.330078,3739.72998,3674.669922,3631.280029,3609.370117,3605.969971,3616.01001,3633.290039,3651.189941,3663.830078,3666.600098,3656.76001,3633.600098,3598.580078,3554.5,3505.159912,3454.75,3407.26001,3365.870117,3332.72998,3308.959961,3294.350098,3287.75,3287.149902,3290.090088,3293.929932,3296.360107,3295.409912,3289.899902,3279.310059,3263.889893,3244.399902,3222.040039,3198.350098,3174.840088,3152.949951,3133.800049,3118.030029,3105.790039,3096.919922,3090.889893,3086.949951,3084.219971,3081.810059,3078.850098,3074.719971,3068.98999,3061.459961,3052.209961,3041.5,3029.790039,3017.590088,3005.439941,2993.830078,2983.149902,2973.629883,0.0067,0.67,-0.84,-0.89,-2.08,-2.35,-28.46,0.0028,1.28
Construction,JKIL.NS,763,21.67,13.75,2.7,736.609985,713.190002,686.619995,662.200012,642.590027,628.590027,619.679993,614.52002,611.539978,609.23999,606.52002,602.75,597.73999,591.650024,584.880005,577.880005,571.039978,564.659973,558.890015,553.76001,549.190002,545.059998,541.219971,537.549988,533.969971,530.400024,526.849976,523.299988,519.789978,516.349976,513,509.76001,506.649994,503.660004,500.799988,498.040009,495.369995,492.790009,490.279999,487.829987,485.450012,483.119995,480.850006,478.630005,476.470001,474.369995,472.320007,470.320007,468.380005,466.48999,464.649994,462.850006,461.089996,459.380005,457.709991,456.070007,454.480011,452.910004,451.390015,449.899994,0.0076,0.76,-1.09,-1.09,-2.98,-3.49,-38.92,0.0027,1.27
Construction,JKLAKSHMI.NS,829.66,19.93,14.73,2.18,824.179993,820.289978,814.710022,808.27002,801.52002,794.97998,789.030029,783.909973,779.719971,776.419983,773.849976,771.820007,770.070007,768.380005,766.580017,764.549988,762.219971,759.609985,756.789978,753.830017,750.840027,747.940002,745.190002,742.650024,740.349976,738.289978,736.450012,734.77002,733.210022,731.719971,730.26001,728.799988,727.320007,725.820007,724.289978,722.76001,721.23999,719.75,718.309998,716.919983,715.609985,714.369995,713.190002,712.070007,711,709.969971,708.97998,708,707.049988,706.099976,705.169983,704.25,703.349976,702.469971,701.609985,700.780029,699.969971,699.190002,698.429993,697.700012,0.0019,0.19,-1.49,-1.49,-0.75,-0.81,-15.35,0.002,0.94
Construction,KEC.NS,1198.8,31.48,20.12,2.88,1096.930054,1072.390015,1040.550049,1007.960022,977.23999,949.5,925.070007,903.919983,885.809998,870.369995,857.200012,845.880005,836.01001,827.26001,819.309998,811.940002,804.940002,798.190002,791.590027,785.070007,778.609985,772.200012,765.840027,759.549988,753.340027,747.22998,741.23999,735.400024,729.700012,724.159973,718.780029,713.570007,708.52002,703.630005,698.900024,694.309998,689.859985,685.539978,681.349976,677.27002,673.299988,669.440002,665.669983,661.98999,658.400024,654.900024,651.469971,648.109985,644.830017,641.619995,638.47998,635.400024,632.380005,629.419983,626.52002,623.669983,620.890015,618.150024,615.460022,612.830017,0.0072,0.72,-1.36,-1.36,-2.85,-3.05,-44.13,0.0022,1.02
Construction,KNRCON.NS,346.15,10.27,7.21,2.5,320.230011,322.51001,322.079987,320.109985,317.320007,314.140015,310.850006,307.619995,304.559998,301.720001,299.119995,296.769989,294.660004,292.75,291.029999,289.459991,288.01001,286.660004,285.390015,284.179993,283,281.850006,280.720001,279.609985,278.51001,277.410004,276.320007,275.23999,274.179993,273.119995,272.079987,271.049988,270.040009,269.049988,268.079987,267.119995,266.190002,265.269989,264.369995,263.48999,262.630005,261.790009,260.959991,260.149994,259.359985,258.579987,257.809998,257.049988,256.309998,255.580002,254.860001,254.149994,253.449997,252.759995,252.080002,251.410004,250.75,250.100006,249.449997,248.820007,0.0027,0.27,-1.58,-1.88,-1,-1.03,-22.85,0.0023,1.05
